timestamp,customers,revenue,transactions,avg_order_value,predicted_sales,labour_cost,staff_count,avg_wait_time,drive_thru_time,labour_efficiency,sales_vs_prediction_diff
2026-01-01 00:00:00,5,36.68,4,8.98,33.37,26.34,2,3.99,5.78,1.39,3.31
2026-01-01 01:00:00,13,75.27,12,6.76,78.04,24.17,2,2.67,5.55,3.11,-2.77
2026-01-01 02:00:00,11,68.42,8,8.88,62.02,27.08,2,2.26,4.24,2.53,6.4
2026-01-01 03:00:00,12,78.9,11,7.42,76.85,29.29,2,2.02,5.42,2.69,2.05
2026-01-01 04:00:00,5,34.21,4,8.62,35.15,28.73,2,3.21,4.94,1.19,-0.94
2026-01-01 05:00:00,13,109.48,12,9.55,118.97,24.47,2,2.44,5.79,4.47,-9.49
2026-01-01 06:00:00,16,100.56,13,8.39,96.64,27.58,2,3.25,5.57,3.65,3.92
2026-01-01 07:00:00,60,591.8,53,12.07,546.1,64.06,5,3.57,5.31,9.24,45.7
2026-01-01 08:00:00,62,438.2,50,8.43,408.64,67.32,5,4.22,3.49,6.51,29.56
2026-01-01 09:00:00,59,511.24,45,11.43,466.31,60.68,5,2.19,3.95,8.43,44.93
2026-01-01 10:00:00,61,392.11,59,6.63,383.49,63.67,5,4.84,5.88,6.16,8.62
2026-01-01 11:00:00,55,589.8,50,11.97,624.59,64.02,5,3.8,5.97,9.21,-34.79
2026-01-01 12:00:00,78,834.24,65,12.85,899.56,103.56,7,5.3,4.55,8.06,-65.32
2026-01-01 13:00:00,81,912.08,75,12.02,976.94,98.24,7,4.86,4.11,9.28,-64.86
2026-01-01 14:00:00,84,670.75,69,10.41,727.68,88.68,7,3.97,6.28,7.56,-56.93
2026-01-01 15:00:00,41,276.6,34,8.26,293.33,71.33,5,3.67,4.83,3.88,-16.73
2026-01-01 16:00:00,36,290.97,33,8.3,288.88,38.33,3,2.59,5.87,7.59,2.09
2026-01-01 17:00:00,35,290.47,27,10.17,310.93,36.1,3,2.3,5.6,8.05,-20.46
2026-01-01 18:00:00,18,134.72,14,10.46,138.54,26.36,2,2.3,3.8,5.11,-3.82
2026-01-01 19:00:00,13,113.59,10,10.56,108.68,25.15,2,2.77,5.54,4.52,4.91
2026-01-01 20:00:00,5,31.26,4,7.5,31.8,26.84,2,2.13,5.48,1.16,-0.54
2026-01-01 21:00:00,5,17.97,3,6.4,16.95,24.29,2,3.88,4.8,0.74,1.02
2026-01-01 22:00:00,12,79.54,10,7.89,75.91,26.86,2,3.52,3.38,2.96,3.63
2026-01-01 23:00:00,9,73.47,7,10.34,67.26,25.42,2,2.6,4.04,2.89,6.21
2026-01-02 00:00:00,8,72.82,7,10.04,69.81,26.73,2,2.1,3.58,2.72,3.01
2026-01-02 01:00:00,9,63.32,7,9.04,57.21,25.17,2,3.02,5.79,2.52,6.11
2026-01-02 02:00:00,12,76.78,10,8.14,80.48,25.56,2,3.43,5.94,3.0,-3.7
2026-01-02 03:00:00,14,105.29,11,9.59,112.7,24.49,2,3.55,3.2,4.3,-7.41
2026-01-02 04:00:00,14,79.49,10,8.4,78.97,27.83,2,3.83,3.37,2.86,0.52
2026-01-02 05:00:00,5,26.17,4,6.9,26.44,26.46,2,3.2,4.46,0.99,-0.27
2026-01-02 06:00:00,18,113.55,15,8.17,110.07,26.57,2,2.98,3.53,4.27,3.48
